date,quarter,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,department_finishing ,department_sweing
01-01-15,Quarter1,Thursday,8,1,0.450251645,0.04791973,0.273148148,0.027222222,0,0,0,59,0.797332146,0,1
01-01-15,Quarter1,Thursday,1,0.931506849,0.02013163,0,0.037037037,0,0,0,0,8,0.736180161,1,0
01-01-15,Quarter1,Thursday,11,1,0.164730933,0.041864891,0.141203704,0.013888889,0,0,0,30.5,0.639274325,0,1
01-01-15,Quarter1,Thursday,12,1,0.164730933,0.041864891,0.141203704,0.013888889,0,0,0,30.5,0.639274325,0,1
01-01-15,Quarter1,Thursday,6,1,0.445218738,0.050601159,0.074074074,0.013888889,0,0,0,56,0.639061692,0,1
01-01-15,Quarter1,Thursday,7,1,0.445218738,0.042556872,0.259259259,0.010555556,0,0,0,56,0.638771927,0,1
01-01-15,Quarter1,Thursday,2,0.931506849,0.02013163,0,0.037037037,0,0,0,0,8,0.588070778,1,0
01-01-15,Quarter1,Thursday,3,0.931506849,0.487417731,0.034382839,0.266203704,0.0125,0,0,0,57.5,0.586398131,0,1
01-01-15,Quarter1,Thursday,2,0.931506849,0.328493999,0.03170141,0.231481481,0.009444444,0,0,0,55,0.585737338,0,1
01-01-15,Quarter1,Thursday,1,0.931506849,0.487417731,0.02945247,0.266203704,0.0125,0,0,0,57.5,0.582726614,0,1
01-01-15,Quarter1,Thursday,9,0.863013699,0.487417731,0.037713001,0.266203704,0.012222222,0,0,0,57.5,0.549682957,0,1
01-01-15,Quarter1,Thursday,10,0.931506849,0.317653891,0.024997838,0.25,0.0125,0,0,0,54,0.53962162,0,1
01-01-15,Quarter1,Thursday,5,1,0.164730933,0.028890234,0.141203704,0.013888889,0,0,0,30.5,0.533803238,0,1
01-01-15,Quarter1,Thursday,10,0.794520548,0.02013163,0,0.037037037,0,0,0,0,8,0.532529759,1,0
01-01-15,Quarter1,Thursday,8,0.931506849,0,0,0.037037037,0,0,0,0,8,0.499543469,1,0
01-01-15,Quarter1,Thursday,4,0.931506849,0.02013163,0,0.083333333,0,0,0,0,18,0.405252173,1,0
01-01-15,Quarter1,Thursday,7,1,0,0,0.037037037,0,0,0,0,8,0.346241799,1,0
01-01-15,Quarter1,Thursday,4,0.794520548,0.402439024,0.037237263,0.277777778,0,0,0,0,60,0.324195491,0,1
01-01-15,Quarter1,Thursday,11,0.863013699,0.024196671,0,0.055555556,0,0,0,0,12,0.228502983,0,0
01-03-15,Quarter1,Saturday,4,1,0.024196671,0,0.25462963,0,0,0,0,20,0.850673253,1,0
01-03-15,Quarter1,Saturday,11,0.931506849,0,0,0.217592593,0,0,0,0,17,0.85051057,1,0
